"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.87 (0.76, 1)","0.86 (0.76, 1.05)","cJ20_J22","1","0.89 (0.69, 1.1)","E00_99","1","0.83 (0.72, 1.08)","M00_99","0.43","0.85 (0.69, 1.05)"
"1","0.72 (0.62, 0.83)","0.77 (0.71, 0.82)","cJ20_J22","1","0.76 (0.71, 0.95)","E40_46","1","0.77 (0.67, 0.9)","K00_99","0.23","0.76 (0.7, 0.92)"
"2","0.77 (0.66, 0.87)","0.76 (0.72, 0.88)","cJ20_J22","1","0.78 (0.69, 0.97)","E40_46","1","0.76 (0.7, 0.91)","N39","0.48","0.8 (0.7, 0.93)"
"3","0.85 (0.77, 0.9)","0.79 (0.73, 0.95)","K00_99","1","0.74 (0.68, 0.89)","cJ20_J22","0.55","0.76 (0.7, 0.89)","L00_99","0.35","0.75 (0.7, 0.91)"
"4","0.8 (0.74, 0.86)","0.78 (0.71, 0.87)","pandemic","1","0.73 (0.58, 0.85)","P00_99","0.69","0.72 (0.62, 0.8)","N00_99","0.45","0.75 (0.57, 0.81)"
"5","0.86 (0.8, 0.96)","0.76 (0.67, 0.89)","pandemic","1","0.68 (0.58, 0.82)","A41","1","0.79 (0.63, 0.87)","Z00_99","0.8","0.79 (0.62, 0.88)"
"6","0.99 (0.92, 1.05)","1.05 (0.8, 1.13)","E00_99","1","0.95 (0.76, 1.09)","pandemic","1","0.81 (0.68, 0.93)","L00_99","0.18","0.8 (0.63, 0.9)"
"7","1.09 (0.9, 1.16)","0.98 (0.88, 1.35)","cJ20_J22","1","0.93 (0.81, 1.41)","I00_99","0.57","1.12 (0.96, 1.29)","P00_99","0.55","0.92 (0.78, 1.2)"
"8","0.98 (0.89, 1.07)","1.02 (0.9, 1.18)","H00_99_SY","0.59","0.99 (0.86, 1.18)","A41","0.42","1.01 (0.87, 1.19)","I00_99","0.37","1 (0.89, 1.1)"
"9","0.78 (0.73, 0.84)","0.75 (0.72, 0.94)","cJ20_J22","1","0.79 (0.68, 1)","E40_46","0.98","0.78 (0.68, 0.91)","Z00_99","0.14","0.9 (0.78, 1.01)"
