"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"ac_pneumonia_Age1","0.93 (0.77, 1.14)","R00_R99","0.07","0.94 (0.78, 1.2)","Q00_Q99","0.07","0.94 (0.77, 1.21)","A00_B99_norota","0.07","0.94 (0.77, 1.18)"
"ac_pneumonia_Age1_0","0.95 (0.77, 1.17)","R00_R99","0.15","0.95 (0.73, 1.16)","L00_L99","0.08","0.94 (0.74, 1.17)","A00_B99_norota","0.08","0.95 (0.74, 1.18)"
"ac_pneumonia_Age1_1","0.95 (0.76, 1.25)","R00_R99","0.13","0.97 (0.76, 1.24)","L00_L99","0.1","0.97 (0.76, 1.26)","pandemic","0.07","1.01 (0.78, 1.28)"
"ac_pneumonia_Age2","0.65 (0.53, 0.8)","L00_L99","0.21","0.65 (0.5, 0.82)","R00_R99","0.06","0.65 (0.48, 0.8)","A00_B99_norota","0.06","0.65 (0.5, 0.81)"
"ac_pneumonia_Age3","0.55 (0.43, 0.7)","L00_L99","0.19","0.55 (0.4, 0.7)","R00_R99","0.13","0.54 (0.39, 0.7)","K00_K95","0.11","0.54 (0.4, 0.7)"
"ac_pneumonia_Age4","0.66 (0.46, 0.94)","M00_M99","0.61","0.74 (0.54, 1)","N00_N99","0.53","0.72 (0.51, 0.96)","pandemic","0.42","0.73 (0.5, 0.95)"
"ac_pneumonia_Age5","0.97 (0.77, 1.18)","H00_H99","0.11","0.99 (0.81, 1.3)","N00_N99","0.09","0.98 (0.81, 1.27)","A00_B99_norota","0.08","0.99 (0.82, 1.29)"
"ac_pneumonia_Age6","1.21 (0.95, 1.86)","H00_H99","0.91","1.67 (1.29, 2.35)","E00_E89","0.1","1.74 (1.31, 2.45)","E10_E14","0.09","1.67 (1.3, 2.41)"
"HP_all_raw_Age1","0.74 (0.58, 0.94)","L00_L99","0.74","0.72 (0.55, 0.97)","R00_R99","0.13","0.72 (0.57, 0.98)","A00_B99_norota","0.1","0.72 (0.56, 1.01)"
"RP_all_raw_Age1","0.69 (0.36, 1.12)","A00_B99_norota","0.2","0.7 (0.37, 1.13)","R00_R99","0.14","0.65 (0.37, 1.12)","L00_L99","0.14","0.65 (0.38, 1.1)"
"VS_SP_all_raw_Age1","0.69 (0.52, 0.89)","R00_R99","0.08","0.68 (0.51, 0.92)","A00_B99_norota","0.08","0.69 (0.52, 0.93)","Q00_Q99","0.08","0.69 (0.52, 0.96)"
