"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.86 (0.74, 1)","0.85 (0.75, 1.04)","cJ20_J22","1","0.87 (0.7, 1.11)","E00_99","1","0.9 (0.69, 1.11)","M00_99","0.31","0.9 (0.73, 1.15)"
"1","0.72 (0.61, 0.83)","0.77 (0.67, 0.82)","cJ20_J22","1","0.75 (0.7, 0.85)","E40_46","0.92","0.76 (0.69, 0.88)","K00_99","0.27","0.76 (0.7, 0.97)"
"2","0.77 (0.66, 0.9)","0.77 (0.72, 0.87)","cJ20_J22","1","0.8 (0.72, 0.96)","E40_46","1","0.81 (0.72, 0.96)","N39","0.32","0.81 (0.68, 0.93)"
"3","0.85 (0.78, 0.9)","0.78 (0.72, 0.87)","cJ20_J22","1","0.8 (0.73, 0.88)","K00_99","0.64","0.75 (0.69, 1.01)","L00_99","0.57","0.76 (0.71, 0.86)"
"4","0.8 (0.72, 0.85)","0.8 (0.68, 0.9)","pandemic","1","0.76 (0.6, 0.89)","P00_99","0.56","0.7 (0.54, 0.81)","E00_99","0.55","0.74 (0.61, 0.83)"
"5","0.86 (0.79, 0.94)","0.81 (0.72, 0.91)","pandemic","1","0.64 (0.55, 0.84)","A41","1","0.76 (0.67, 0.88)","I00_99","0.94","0.75 (0.62, 0.92)"
"6","0.98 (0.91, 1.05)","0.94 (0.78, 1.11)","pandemic","1","0.85 (0.71, 0.96)","L00_99","0.62","1.01 (0.64, 1.15)","Z00_99","0.55","0.97 (0.74, 1.11)"
"7","1.02 (0.88, 1.15)","0.99 (0.91, 1.42)","cJ20_J22","1","1.14 (0.99, 1.39)","I60_64","0.93","0.92 (0.76, 1.49)","P00_99","0.22","0.9 (0.81, 1.43)"
"8","0.99 (0.9, 1.09)","0.97 (0.84, 1.16)","A41","0.9","1.03 (0.91, 1.2)","I00_99","0.3","1.02 (0.89, 1.15)","I60_64","0.28","1 (0.88, 1.18)"
"9","0.77 (0.67, 0.83)","0.75 (0.72, 0.92)","cJ20_J22","1","0.83 (0.7, 0.99)","E40_46","1","0.73 (0.65, 0.83)","A10_B99_nopneumo","0.19","0.8 (0.73, 0.93)"
