"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"09_1_11","0.77 (0.53, 1.13)","0.77 (0.55, 1.1)","cj20_J22","0.99","0.79 (0.49, 1.11)","P00_99","0.94","0.75 (0.47, 1.08)","N00_99","0.29","0.81 (0.5, 1.1)"
"09_1_12","1.17 (0.76, 1.76)","0.57 (0.44, 0.75)","cj20_J22","0.48","0.58 (0.44, 0.77)","P00_99","0.16","0.56 (0.44, 0.72)","pandemic","0.15","0.58 (0.44, 0.74)"
"09_1_13","1.19 (0.78, 1.74)","1.21 (0.89, 1.6)","a10_b99_nopneumo","0.8","1.12 (0.82, 1.45)","K00_99","0.12","1.11 (0.81, 1.45)","L00_99","0.11","1.11 (0.8, 1.39)"
"09_1_14","0.93 (0.59, 1.48)","1.2 (0.86, 1.69)","P00_99","0.67","1.08 (0.79, 1.45)","P05_07","0.21","1.1 (0.8, 1.47)","pandemic","0.14","1.09 (0.8, 1.45)"
"09_1_15","0.85 (0.68, 1.04)","0.65 (0.6, 0.74)","cj20_J22","1","0.69 (0.62, 0.77)","E40_46","0.14","0.69 (0.62, 0.76)","L00_99","0.03","0.69 (0.62, 0.76)"
"09_1_16","0.99 (0.68, 1.42)","1.24 (0.97, 1.51)","a10_b99_nopneumo","0.36","1.2 (0.94, 1.47)","P00_99","0.19","1.22 (0.99, 1.48)","P05_07","0.1","1.22 (0.99, 1.48)"
"09_1_17","0.39 (0.29, 0.53)","0.55 (0.37, 0.84)","P00_99","0.7","0.75 (0.63, 0.88)","P05_07","0.08","0.75 (0.63, 0.88)","a10_b99_nopneumo","0.06","0.75 (0.61, 0.88)"
"09_2_21","0.61 (0.44, 0.82)","0.8 (0.66, 1.24)","cj20_J22","1","0.8 (0.67, 0.95)","K00_99","0.59","0.81 (0.68, 0.98)","P00_99","0.45","0.81 (0.69, 0.98)"
"09_2_22","0.6 (0.43, 0.82)","0.68 (0.44, 0.94)","cj20_J22","1","0.44 (0.36, 0.68)","P05_07","0.91","0.42 (0.36, 0.5)","P00_99","0.56","0.43 (0.36, 0.51)"
"09_2_23","0.55 (0.42, 0.72)","0.65 (0.56, 0.75)","cj20_J22","0.9","0.68 (0.57, 0.79)","P00_99","0.36","0.67 (0.57, 0.78)","N00_99","0.18","0.67 (0.56, 0.77)"
