"","Lower CI","Point Estimate","Upper CI"
"9_1",0.233333333333333,0.478209658421673,0.987894783692362
"9_10",0.872458410351202,2.33663366336634,6.46575342465753
"9_11",0.661112343355466,0.996089931573803,1.50444765218832
"9_12",0.0632782633916952,0.174981245311328,0.447933210439211
"9_13",0.0473495365078823,0.133670889883627,0.365663648134132
"9_14",0.400047100426296,0.621666273306585,0.963793715365436
"9_15",0.0308385908004697,0.083249201226392,0.193708714543599
"9_16",0.12242747077679,0.243172951885566,0.480232158099186
"9_17",0.122396059762919,0.326016260162602,0.835416666666667
"9_19",0.596514161220044,0.882087628865979,1.30384059648645
"9_2",0.562355551753717,0.950092421441775,1.54592286438989
"9_20",0.380107302997561,0.724121557454891,1.27936241610738
"9_21",0.513323909008643,0.6734404536862,0.873161764705882
"9_22",0.373846070955488,0.562068965517241,0.837328767123288
"9_23",0.585651537335286,0.963855421686747,1.51515151515152
"9_24",0.282999983202522,0.434645115952214,0.642939751373839
"9_25",0.433681680957049,0.838744588744589,1.56882591093117
"9_26",0.581946761161604,2.54428341384863,8.40537888269426
"9_27",0.526790304876553,0.76318359375,1.10615711252654
"9_28",0.982400982522857,1.51282051282051,2.3652561247216
"9_29",0.258365812838806,0.611044417767107,1.43795493830124
"9_30",0.308245198983487,0.539468130012664,0.920102965249811
"9_31",0.590814196242171,0.920325203252032,1.38734011417835
"9_32",0.732889535094277,1.0010989010989,1.35364041604755
"9_4",0.68970189701897,0.883680555555556,1.11622807017544
"9_5",0.268389977653403,0.560678325384208,1.13276231263383
"9_7",0.595585640839865,0.781115919684577,1.01467136150235
"9_8",0.629048404653229,0.7944003343084,0.995809324253536
"9_9",0.782842292121392,0.955278369333739,1.16641901931649
