"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.92 (0.74, 1.13)","0.89 (0.73, 1.09)","cJ20_J22","1","1.18 (0.93, 1.45)","P05_07","0.6","1.12 (0.88, 1.38)","P00_99","0.44","1.14 (0.91, 1.4)"
"1","1.13 (0.96, 1.34)","1 (0.86, 1.18)","cJ20_J22","1","1.28 (1.08, 1.5)","P00_99","0.63","1.42 (1.21, 1.64)","E00_99","0.1","1.45 (1.23, 1.67)"
"2","1.14 (0.94, 1.36)","1.05 (0.9, 1.2)","cJ20_J22","1","1.22 (0.99, 1.48)","S00_T99","1","1.24 (0.98, 1.52)","E40_46","0.23","1.26 (0.98, 1.58)"
"3","0.99 (0.86, 1.14)","1 (0.87, 1.17)","cJ20_J22","1","1.15 (0.96, 1.36)","S00_T99","0.99","1.12 (0.94, 1.33)","G00_99_SY","0.6","1.16 (0.98, 1.35)"
"4","0.88 (0.77, 1.01)","0.88 (0.8, 1)","cJ20_J22","1","0.91 (0.79, 1.17)","N00_99","1","0.92 (0.79, 1.15)","C00_D48","0.07","0.91 (0.79, 1.1)"
"5","0.75 (0.62, 0.9)","0.81 (0.67, 0.97)","cJ20_J22","1","0.71 (0.55, 0.88)","K35","0.22","0.71 (0.55, 0.88)","K00_99","0.19","0.7 (0.54, 0.89)"
"6","0.73 (0.63, 0.85)","0.85 (0.74, 0.97)","cJ20_J22","1","0.76 (0.62, 0.89)","D50_89","0.57","0.78 (0.62, 0.91)","N39","0.52","0.75 (0.61, 0.89)"
"7","0.85 (0.75, 0.97)","0.92 (0.79, 1.06)","E00_99","0.87","0.94 (0.8, 1.12)","cJ20_J22","0.84","0.87 (0.76, 1.02)","E10_14","0.14","0.87 (0.76, 1.03)"
"8","0.92 (0.82, 1.05)","1 (0.87, 1.14)","cJ20_J22","0.62","0.98 (0.86, 1.14)","N39","0.36","0.96 (0.84, 1.1)","C00_D48","0.24","0.94 (0.83, 1.07)"
"9","0.91 (0.77, 1.08)","0.85 (0.74, 0.97)","cJ20_J22","1","1.1 (0.91, 1.33)","P00_99","0.08","1.09 (0.9, 1.3)","D50_89","0.05","1.08 (0.89, 1.31)"
