"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.86 (0.74, 0.98)","0.82 (0.75, 0.97)","cJ20_J22","1","0.87 (0.74, 1.12)","E00_99","1","0.87 (0.72, 1.13)","S00_T99","0.4","0.91 (0.73, 1.11)"
"1","0.72 (0.63, 0.82)","0.77 (0.72, 0.81)","cJ20_J22","1","0.75 (0.69, 0.86)","E40_46","1","0.76 (0.7, 0.94)","K00_99","0.24","0.76 (0.72, 0.93)"
"2","0.76 (0.67, 0.85)","0.76 (0.73, 0.8)","cJ20_J22","1","0.76 (0.7, 0.95)","E40_46","1","0.75 (0.67, 0.91)","N39","0.62","0.83 (0.72, 0.93)"
"3","0.82 (0.72, 0.91)","0.78 (0.71, 0.84)","K00_99","0.54","0.76 (0.71, 0.93)","cJ20_J22","0.45","0.75 (0.7, 0.88)","E40_46","0.28","0.75 (0.71, 0.9)"
"4","0.79 (0.7, 0.9)","0.81 (0.75, 0.9)","pandemic","1","0.68 (0.56, 0.81)","N00_99","0.97","0.74 (0.59, 0.81)","N39","0.61","0.75 (0.55, 0.83)"
"5","0.83 (0.72, 0.96)","0.82 (0.74, 0.91)","pandemic","1","0.68 (0.58, 0.81)","I00_99","1","0.63 (0.55, 0.8)","A41","1","0.79 (0.69, 0.88)"
"6","0.95 (0.85, 1.06)","1.01 (0.82, 1.12)","pandemic","1","0.85 (0.72, 0.95)","L00_99","0.37","0.8 (0.68, 0.92)","E00_99","0.34","0.85 (0.71, 1.06)"
"7","0.97 (0.88, 1.07)","0.93 (0.82, 1.07)","I00_99","0.62","1.11 (0.86, 1.27)","A41","0.59","1.11 (0.93, 1.23)","H00_99_SY","0.39","1.09 (0.86, 1.21)"
"8","0.98 (0.91, 1.08)","0.98 (0.87, 1.08)","A41","0.75","1.03 (0.89, 1.17)","I00_99","0.22","1.03 (0.9, 1.15)","L00_99","0.16","1.03 (0.86, 1.18)"
"9","0.72 (0.64, 0.84)","0.75 (0.71, 0.82)","cJ20_J22","1","0.85 (0.71, 1.04)","E40_46","1","0.81 (0.7, 0.93)","K00_99","0.09","0.85 (0.69, 0.93)"
