"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"0","0.82 (0.75, 0.98)","cJ20_J22","1","0.94 (0.75, 1.15)","E00_99","1","0.91 (0.76, 1.15)","ach_noj","0.4","0.82 (0.73, 1.04)"
"1","0.77 (0.74, 0.81)","cJ20_J22","1","0.75 (0.7, 0.79)","E40_46","1","0.75 (0.71, 0.79)","B20_24","0.02","0.75 (0.7, 0.79)"
"2","0.77 (0.72, 0.82)","cJ20_J22","1","0.78 (0.72, 0.85)","E40_46","0.97","0.78 (0.72, 0.88)","N39","0.53","0.76 (0.67, 0.89)"
"3","0.8 (0.75, 0.85)","K00_99","1","0.77 (0.71, 0.83)","L00_99","0.3","0.75 (0.7, 0.82)","M00_99","0.26","0.78 (0.72, 0.85)"
"4","0.8 (0.72, 0.91)","pandemic","1","0.73 (0.66, 0.82)","N39","0.84","0.75 (0.68, 0.84)","Z00_99","0.55","0.75 (0.67, 0.89)"
"5","0.82 (0.72, 0.89)","pandemic","1","0.7 (0.62, 0.79)","A41","1","0.83 (0.67, 0.96)","I00_99","0.89","0.82 (0.74, 0.9)"
"6","1.06 (0.96, 1.19)","pandemic","1","0.87 (0.77, 1.07)","E10_14","0.59","0.85 (0.77, 0.97)","E00_99","0.41","0.84 (0.73, 0.96)"
"7","1.1 (0.93, 1.18)","E00_99","0.89","0.98 (0.89, 1.1)","I60_64","0.31","0.96 (0.84, 1.09)","cJ20_J22","0.15","0.89 (0.79, 0.97)"
"8","0.97 (0.88, 1.1)","A41","0.96","1.03 (0.89, 1.14)","I00_99","0.4","1 (0.92, 1.09)","L00_99","0.15","1.01 (0.88, 1.14)"
"9","0.75 (0.72, 0.79)","cJ20_J22","1","0.83 (0.71, 1.01)","E40_46","1","0.85 (0.78, 0.96)","C00_D48","0.1","0.73 (0.68, 0.81)"
